rule,rule_time
bash.curl.security.curl-eval.curl-eval,0.0
bash.curl.security.curl-pipe-bash.curl-pipe-bash,0.0
bash.lang.security.ifs-tampering.ifs-tampering,0.0
c.lang.security.double-free.double-free,0.0
c.lang.security.function-use-after-free.function-use-after-free,0.0
c.lang.security.info-leak-on-non-formatted-string.info-leak-on-non-formated-string,0.0
c.lang.security.insecure-use-gets-fn.insecure-use-gets-fn,0.0
c.lang.security.insecure-use-memset.insecure-use-memset,0.0
c.lang.security.insecure-use-printf-fn.insecure-use-printf-fn,0.0
c.lang.security.insecure-use-scanf-fn.insecure-use-scanf-fn,0.0
c.lang.security.insecure-use-strtok-fn.insecure-use-strtok-fn,0.0
c.lang.security.random-fd-exhaustion.random-fd-exhaustion,0.0
c.lang.security.use-after-free.use-after-free,0.0
clojure.lang.security.use-of-md5.use-of-md5,0.0
contrib.nodejsscan.crypto_node.node_md5,0.0
contrib.nodejsscan.crypto_node.node_sha1,0.0
cs.lang.security.insecure-deserialization.binary-formatter.insecure-binaryformatter-deserialization,0.0
cs.lang.security.insecure-deserialization.fast-json.insecure-fastjson-deserialization,0.0
cs.lang.security.insecure-deserialization.fs-pickler.insecure-fspickler-deserialization,0.0
cs.lang.security.insecure-deserialization.los-formatter.insecure-losformatter-deserialization,0.0
cs.lang.security.insecure-deserialization.net-data-contract.insecure-netdatacontract-deserialization,0.0
cs.lang.security.insecure-deserialization.newtonsoft.insecure-newtonsoft-deserialization,0.0
cs.lang.security.insecure-deserialization.soap-formatter.insecure-soapformatter-deserialization,0.0
csharp.dotnet.security.audit.ldap-injection.ldap-injection,0.0
csharp.dotnet.security.audit.mass-assignment.mass-assignment,0.0
csharp.dotnet.security.audit.misconfigured-lockout-option.misconfigured-lockout-option,0.0
csharp.dotnet.security.audit.missing-or-broken-authorization.missing-or-broken-authorization,0.0
csharp.dotnet.security.audit.open-directory-listing.open-directory-listing,0.0
csharp.dotnet.security.audit.xpath-injection.xpath-injection,0.0
csharp.dotnet.security.mvc-missing-antiforgery.mvc-missing-antiforgery,0.0
csharp.dotnet.security.net-webconfig-debug.net-webconfig-debug,0.0
csharp.dotnet.security.net-webconfig-trace-enabled.net-webconfig-trace-enabled,0.0
csharp.dotnet.security.razor-template-injection.razor-template-injection,0.0
csharp.dotnet.security.use_deprecated_cipher_algorithm.use_deprecated_cipher_algorithm,0.0
csharp.dotnet.security.use_ecb_mode.use_ecb_mode,0.0
csharp.dotnet.security.use_weak_rng_for_keygeneration.use_weak_rng_for_keygeneration,0.0
csharp.dotnet.security.use_weak_rsa_encryption_padding.use_weak_rsa_encryption_padding,0.0
csharp.dotnet.security.web-config-insecure-cookie-settings.web-config-insecure-cookie-settings,0.0
csharp.jwt-dotnet.jwt-dotnet-hardcoded-secret.jwt-dotnet-hardcoded-secret,0.0
csharp.lang.audit.cookies.httponly-false.httponly-false,0.0
csharp.lang.audit.cookies.missing-httponly.missing-httponly,0.0
csharp.lang.audit.cookies.missing-secure.missing-secure,0.0
csharp.lang.audit.cookies.secure-false.secure-false,0.0
csharp.lang.best-practice.structured-logging.structured-logging,0.0
csharp.lang.correctness.double.double-epsilon-equality.correctness-double-epsilon-equality,0.0
csharp.lang.correctness.regioninfo.regioninfo-interop.correctness-regioninfo-interop,0.0
csharp.lang.correctness.sslcertificatetrust.sslcertificatetrust-handshake-no-trust.correctness-sslcertificatetrust-handshake-no-trust,0.0
